index,branch_lengths,dist,rep,quint
0,0.007046060672768928,42.569362571092164,1,1
1,0.01713638565295967,43.57969792385851,1,2
2,0.032989940388528934,43.97298249924878,1,3
3,0.05304544074346049,42.12486260962519,1,4
4,0.09641792898577421,42.67971261798269,1,5
0,0.007046060672768927,43.06392736009384,2,1
1,0.017136385652959694,43.039358236000005,2,2
2,0.03298994038852892,42.442669344654135,2,3
3,0.05304544074346058,43.2057517862692,2,4
4,0.09641792898577421,43.17004175501277,2,5
0,0.007046060672768919,42.81697425624053,3,1
1,0.01713638565295971,43.91931000619898,3,2
2,0.03298994038852898,42.500376774689094,3,3
3,0.053045440743460556,42.35784163175235,3,4
4,0.09641792898577417,43.31464571436374,3,5
0,0.0070460606727689315,42.55371984497088,4,1
1,0.017136385652959666,42.78684390555449,4,2
2,0.03298994038852899,42.16040597471454,4,3
3,0.053045440743460494,44.174898945338796,4,4
4,0.09641792898577412,43.24902265451544,4,5
0,0.00704606067276892,42.449238286029285,5,1
1,0.017136385652959683,42.666173950342696,5,2
2,0.03298994038852896,43.40739381555933,5,3
3,0.05304544074346056,43.3460567023788,5,4
4,0.09641792898577417,43.0679278186616,5,5
0,0.007046060672768926,41.98706851933041,6,1
1,0.01713638565295975,43.18287968301579,6,2
2,0.03298994038852902,42.74507086614455,6,3
3,0.053045440743460515,43.450600204362736,6,4
4,0.09641792898577406,43.559214225106416,6,5
0,0.007046060672768936,42.83656651608185,7,1
1,0.01713638565295971,43.14057874076247,7,2
2,0.03298994038852894,42.686341198586845,7,3
3,0.05304544074346056,43.4000365619213,7,4
4,0.09641792898577409,42.85917318813732,7,5
0,0.007046060672768934,43.37160212988166,8,1
1,0.017136385652959694,43.553951652891435,8,2
2,0.03298994038852897,43.09797102736721,8,3
3,0.053045440743460515,42.00844435464247,8,4
4,0.09641792898577424,42.88601516112651,8,5
0,0.007046060672768912,43.185427660472875,9,1
1,0.017136385652959687,42.337761545202824,9,2
2,0.032989940388528996,43.081817761490896,9,3
3,0.053045440743460605,43.535051166819784,9,4
4,0.09641792898577416,42.797289617787044,9,5
0,0.0070460606727689185,42.62184018968718,10,1
1,0.01713638565295971,43.00059536254304,10,2
2,0.032989940388528934,43.12418469612958,10,3
3,0.05304544074346056,42.88192252994623,10,4
4,0.0964179289857742,43.30034486007778,10,5
0,0.007046060672768926,42.978486120018864,11,1
1,0.01713638565295972,43.110455067622084,11,2
2,0.03298994038852901,43.06063138600525,11,3
3,0.05304544074346051,42.420851518933844,11,4
4,0.09641792898577406,43.355271479797885,11,5
0,0.007046060672768936,43.317763407115805,12,1
1,0.017136385652959687,43.690055268628534,12,2
2,0.032989940388529,42.403365466905676,12,3
3,0.05304544074346059,42.93228736105399,12,4
4,0.09641792898577409,42.56711824435934,12,5
0,0.007046060672768919,42.77634263125928,13,1
1,0.01713638565295972,43.10489516047078,13,2
2,0.032989940388528975,43.09400116250429,13,3
3,0.05304544074346051,42.777647178399555,13,4
4,0.09641792898577413,43.173713149691785,13,5
0,0.007046060672768931,42.24927680432387,14,1
1,0.017136385652959697,43.18148878113048,14,2
2,0.032989940388528996,43.1689281073243,14,3
3,0.0530454407434606,43.48272814407103,14,4
4,0.09641792898577402,42.84501818431086,14,5
0,0.0070460606727689385,42.43014530306277,15,1
1,0.017136385652959708,43.78257773485972,15,2
2,0.03298994038852898,43.10753007744552,15,3
3,0.05304544074346053,43.12321217227496,15,4
4,0.09641792898577439,42.473618605969534,15,5
0,0.007046060672768924,43.51586866073259,16,1
1,0.017136385652959666,42.81309388344287,16,2
